"lat" "long" "freq" "location"
"4420" 59.27645 10.37461 1 1685
"4822" 59.50541 10.2993 1 1970
"3023" 59.05009 10.4505 1 455
"4501" 59.32101 10.79583 1 1753
"5414" 59.73705 10.212 1 2310
"4119" 59.19656 11.18499 1 1425
"4797" 59.49393 10.66518 1 1951
"3716" 59.13323 9.6228 1 1066
"2179" 58.86797 9.602665 1 1
"2968" 59.04386 10.14456 1 405
"3965" 59.17147 10.70937 1 1288
"5554" 59.82174 10.47734 1 2393
"4594" 59.39718 10.48245 1 1824
"3907" 59.16269 10.95057 1 1239
"3825" 59.15008 10.30898 1 1164
"5049" 59.61129 10.40919 1 2125
"5489" 59.7824 10.7096 1 2365
"3332" 59.08827 11.22511 1 741
"2591" 58.97326 9.649431 1 81
"4094" 59.19322 10.50636 1 1402
"3353" 59.09111 9.795838 1 759
"4856" 59.52232 10.48712 1 1994
"5010" 59.58785 10.65334 1 2106
"4573" 59.37727 10.65617 1 1808
"5323" 59.70058 10.38924 1 2241
"2605" 58.97684 10.02888 1 91
"3394" 59.09625 10.82837 1 797
"2833" 59.02197 11.11349 1 279
"4474" 59.31277 10.52534 1 1729
"5767" 59.8881 10.56988 1 2549
"3181" 59.06952 10.29762 1 600
"4348" 59.25165 10.70283 1 1622
"3658" 59.12567 11.08846 1 1016
"3045" 59.05276 9.648343 1 476
"5431" 59.7439 10.51063 1 2324
"4983" 59.57123 10.23566 1 2095
"3634" 59.12331 10.44813 1 1003
"4680" 59.44768 10.37268 1 1890
"5608" 59.84221 10.77394 1 2423
"4647" 59.43831 10.59162 1 1863
"4227" 59.2173 11.06161 1 1520
"3000" 59.04696 10.01555 1 434
"4187" 59.21052 10.36792 1 1486
"2573" 58.97034 10.15174 1 66
"3412" 59.09807 10.95724 1 814
"3890" 59.16021 10.82985 1 1223
"5593" 59.83614 10.63568 1 2412
"5380" 59.7216 10.72068 1 2282
"4485" 59.31662 10.67676 1 1738
"2900" 59.03255 9.762835 1 343
"4236" 59.21976 10.92 1 1529
"4358" 59.25558 10.50172 1 1630
"2615" 58.97849 10.96092 1 99
"4939" 59.55362 10.3924 1 2065
"4220" 59.21583 10.78961 1 1515
"3541" 59.11242 10.22502 1 926
"3781" 59.14399 11.20703 1 1123
"5480" 59.77721 10.59394 1 2363
"3214" 59.07316 11.0725 1 631
"4691" 59.45026 10.48255 1 1900
"4933" 59.55095 10.58121 1 2061
"5325" 59.70085 10.28648 1 2243
"3406" 59.09747 9.692415 1 808
"2536" 58.96378 9.939103 1 41
"4384" 59.26409 10.79311 1 1653
"3955" 59.16932 10.41525 1 1279
"5168" 59.65994 10.43616 1 2165
"2475" 58.93239 9.604247 1 17
"5096" 59.63501 10.64191 1 2148
"3976" 59.173 11.09179 1 1298
"5310" 59.69714 10.51792 1 2235
"2648" 58.98677 11.0541 1 118
"4553" 59.35153 10.46888 1 1792
"3225" 59.07449 10.52422 1 641
"2655" 58.988 9.748835 1 122
"2734" 59.0051 10.09678 1 190
"3535" 59.11125 10.36416 1 922
"4905" 59.53778 10.66451 1 2038
"2937" 59.03861 10.2287 1 377
"5385" 59.72377 10.58713 1 2287
"3072" 59.05591 10.87539 1 499
"4805" 59.49663 10.38239 1 1955
"3366" 59.09221 9.601641 1 772
"4254" 59.22385 10.44439 1 1542
"5661" 59.86254 10.50577 1 2464
"4685" 59.44893 10.6686 1 1895
"3545" 59.1128 10.75665 1 930
"3823" 59.14983 11.02546 1 1162
"2348" 58.90096 9.653319 1 13
"2854" 59.02531 11.03731 1 299
"5833" 59.91429 10.65713 1 2601
"4547" 59.34596 10.73664 1 1789
"5442" 59.74933 10.28527 1 2334
"2904" 59.03331 9.838393 1 347
"5490" 59.78261 10.50254 1 2366
"4199" 59.21289 10.70488 1 1496
"4063" 59.18758 11.01124 1 1376
"3862" 59.15623 10.4874 1 1198
"4050" 59.18511 10.88882 1 1363
"3306" 59.08582 10.42557 1 718
"4916" 59.54322 10.30104 1 2047
"3566" 59.11601 10.89344 1 949
"4569" 59.37367 10.53884 1 1806
"3153" 59.06639 9.733083 1 574
"3238" 59.07598 10.21246 1 654
"2524" 58.95823 9.857901 1 34
"4128" 59.19865 10.57749 1 1433
"5694" 59.87088 10.65962 1 2492
"4443" 59.29285 10.74843 1 1701
"3100" 59.05977 11.00145 1 525
"5722" 59.87741 10.77472 1 2515
"5551" 59.8208 10.69821 1 2391
"3557" 59.11405 10.29648 1 940
"3440" 59.10174 11.13529 1 839
"3794" 59.14575 11.141 1 1136
"2788" 59.01384 10.17331 1 237
"5343" 59.70587 10.64286 1 2251
"4747" 59.47388 10.3324 1 1924
"3572" 59.1169 11.01801 1 954
"5624" 59.85082 10.57697 1 2434
"4429" 59.28293 10.68238 1 1691
"4385" 59.2641 10.43964 1 1654
"2800" 59.01577 10.03553 1 249
"3990" 59.17481 10.35219 1 1310
"3774" 59.14279 10.37785 1 1118
"4322" 59.24447 10.37172 1 1600
"4864" 59.52519 10.42098 1 2001
"3692" 59.12973 10.95153 1 1044
"3095" 59.05946 9.801198 1 520
"4609" 59.41785 10.65633 1 1831
"3182" 59.0696 10.92992 1 601
"4243" 59.22115 10.53526 1 1533
"3409" 59.09767 10.48239 1 811
"5199" 59.66901 10.37785 1 2179
"5001" 59.58398 10.43693 1 2103
"2741" 59.00646 9.80166 1 195
"2542" 58.9648 9.711623 1 44
"4091" 59.19279 10.9498 1 1400
